,Stock1,Stock2
278,LH,PH
279,LH,SIVB
280,LH,URI
281,LH,V
282,LH,WAT
283,LH,WLTW
284,LH,ZBRA
285,LRCX,UNH
286,LRCX,ZBRA
287,LIN,MA
288,LIN,NSC
289,LIN,POOL
290,LIN,V
291,LMT,MKTX
292,LMT,MLM
293,LMT,MSFT
294,LMT,MPWR
295,LMT,MSCI
296,LMT,NFLX
297,LMT,NSC
298,LMT,NVDA
299,LMT,ORLY
300,LMT,PH
301,LMT,PAYC
302,LMT,POOL
303,LMT,PSA
304,LMT,REGN
305,LMT,ROK
306,LMT,CRM
307,LMT,NOW
308,LMT,SHW
309,LMT,SIVB
310,LMT,SNPS
311,LMT,TSLA
312,LMT,TMO
313,LMT,TYL
314,LMT,ULTA
315,LMT,UNH
316,LMT,URI
317,LMT,VRTX
318,LMT,WAT
319,LMT,WST
320,LMT,ZBRA
321,MLM,SYK
322,MLM,WAT
323,MA,MSFT
324,MA,MPWR
325,MA,MCO
326,MA,ORLY
327,MA,POOL
328,MA,ROK
329,MA,SHW
330,MA,SNPS
331,MA,V
332,MSFT,MSCI
333,MSFT,ROK
334,MPWR,SNPS
335,MPWR,TSLA
336,NSC,URI
337,NVDA,WST
338,PAYC,TMO
339,REGN,SBAC
340,ROK,TYL
341,ROK,V
342,ROP,SPGI
343,CRM,TMO
344,NOW,TMO
345,SYK,WAT
346,SIVB,WAT
347,SNPS,TSLA
348,SNPS,TMO
349,TDY,ZBRA
350,TFX,TSLA
351,TFX,UNH
352,TFX,URI
353,TFX,V
354,TFX,WAT
355,TFX,WLTW
356,TFX,ZBRA
357,UNH,V
358,URI,ZBRA
359,VRSN,VRTX
360,VRSN,WAT
361,VRSN,WST
362,VRSN,ZBRA
363,V,WST
364,V,WLTW
365,V,ZBRA
366,MMM,AAP
367,MMM,AME
368,MMM,BR
369,MMM,CZR
370,MMM,KMX
371,MMM,CDW
372,MMM,CMCSA
373,MMM,GLW
374,MMM,CSX
375,MMM,DOW
376,MMM,EXPD
377,MMM,EXR
378,MMM,GPS
379,MMM,GPC
380,MMM,HCA
381,MMM,INFO
382,MMM,IP
383,MMM,IPG
384,MMM,IQV
385,MMM,IRM
386,MMM,J
387,MMM,JCI
388,MMM,LKQ
389,MMM,MAA
390,MMM,MDLZ
391,MMM,NWS
392,MMM,ORCL
393,MMM,PM
394,MMM,PPG
395,MMM,PTC
